28,17,21,2026-05-04 18:34:58.491733+00,2026-05-04 18:41:59.008375+00
60,5,746,2026-05-05 16:41:33.956446+00,2026-05-06 01:04:43.520704+00
56,1,4601,2026-05-05 13:26:33.405+00,2026-05-06 01:04:46.221423+00
34,9,361,2026-05-05 04:44:17.19194+00,2026-05-06 01:04:04.48151+00
63,1,3600,2026-05-05 16:41:54.809265+00,2026-05-06 01:04:47.524217+00
26,20,18,2026-05-04 16:39:23.681881+00,2026-05-04 16:47:05.027349+00
17,2,534,2026-05-04 13:08:50.806283+00,2026-05-05 03:18:05.351804+00
29,2,65,2026-05-04 19:29:24.684519+00,2026-05-04 19:59:17.069896+00
30,10,196,2026-05-05 02:48:07.922295+00,2026-05-06 01:02:04.841164+00
29,9,16,2026-05-04 19:29:37.691942+00,2026-05-04 19:59:24.075194+00
17,6,228,2026-05-04 13:08:50.806283+00,2026-05-05 03:18:09.856541+00
33,7,5,2026-05-05 03:13:48.144634+00,2026-05-05 03:16:10.755314+00
33,3,12,2026-05-05 03:11:52.075317+00,2026-05-05 03:16:21.771312+00
15,6,2076,2026-05-04 11:31:46.802429+00,2026-05-05 15:39:34.712185+00
17,7,192,2026-05-04 13:08:50.806283+00,2026-05-05 03:16:23.771904+00
33,1,20,2026-05-05 03:11:41.566261+00,2026-05-05 03:16:26.272998+00
19,5,119,2026-05-04 14:04:11.443281+00,2026-05-05 17:34:19.467326+00
27,3,75,2026-05-04 17:56:45.932441+00,2026-05-04 18:08:06.534329+00
14,12,37,2026-05-04 10:57:12.421759+00,2026-05-05 13:08:40.473226+00
45,9,44,2026-05-05 13:38:24.490412+00,2026-05-05 14:45:43.494593+00
37,17,381,2026-05-05 09:05:14.484254+00,2026-05-05 23:02:03.191456+00
27,9,23,2026-05-04 18:00:12.597041+00,2026-05-04 18:08:09.538252+00
32,13,432,2026-05-05 03:40:58.500452+00,2026-05-05 18:26:16.063542+00
37,15,525,2026-05-05 09:05:31.494851+00,2026-05-05 23:02:03.692056+00
33,4,8,2026-05-05 03:13:07.127596+00,2026-05-05 03:15:21.217052+00
43,12,69,2026-05-05 16:21:31.79827+00,2026-05-05 16:29:58.233524+00
27,4,47,2026-05-04 17:56:18.914692+00,2026-05-04 18:08:11.542066+00
19,13,296,2026-05-04 14:16:07.890625+00,2026-05-05 17:39:11.666332+00
27,2,94,2026-05-04 17:56:19.914392+00,2026-05-04 18:08:12.544053+00
32,18,190,2026-05-05 03:44:40.180309+00,2026-05-05 18:26:17.565636+00
47,7,657,2026-05-05 13:26:43.321335+00,2026-05-06 01:01:11.823266+00
34,8,408,2026-05-05 04:38:07.435208+00,2026-05-06 01:04:15.99715+00
13,6,115,2026-05-04 09:17:53.659903+00,2026-05-06 00:59:03.766529+00
28,4,13,2026-05-04 18:11:24.667854+00,2026-05-04 18:21:22.183411+00
32,17,223,2026-05-05 03:40:39.984918+00,2026-05-05 18:25:38.238654+00
28,6,16,2026-05-04 18:11:31.670281+00,2026-05-04 18:25:40.853107+00
67,9,382,2026-05-05 16:52:03.217171+00,2026-05-06 01:04:32.512255+00
25,17,203,2026-05-04 23:56:52.232728+00,2026-05-06 00:14:52.003335+00
27,1,108,2026-05-04 17:56:04.901917+00,2026-05-04 18:08:21.549297+00
32,15,320,2026-05-05 03:41:48.050694+00,2026-05-05 18:26:22.071329+00
41,14,112,2026-05-05 09:59:48.567106+00,2026-05-05 14:01:49.09383+00
32,8,196,2026-05-05 03:12:30.106605+00,2026-05-05 11:04:47.364847+00
28,3,12,2026-05-04 18:11:32.671197+00,2026-05-04 18:25:48.862275+00
54,7,129,2026-05-05 13:30:38.604017+00,2026-05-05 14:20:58.694174+00
13,19,54,2026-05-04 13:42:51.809145+00,2026-05-05 06:14:58.100328+00
40,8,116,2026-05-05 09:31:29.134355+00,2026-05-05 13:43:57.742815+00
47,2,1603,2026-05-05 13:26:15.891443+00,2026-05-06 01:04:36.001236+00
35,1,53,2026-05-05 05:54:30.916956+00,2026-05-05 06:09:43.154899+00
15,10,943,2026-05-04 11:32:26.824327+00,2026-05-05 17:11:24.176836+00
28,5,20,2026-05-04 18:11:23.167262+00,2026-05-04 18:25:57.369791+00
20,14,677,2026-05-04 15:31:12.542788+00,2026-05-05 15:44:50.033204+00
32,6,296,2026-05-05 03:18:32.377664+00,2026-05-05 11:04:51.365651+00
54,3,237,2026-05-05 13:30:27.088416+00,2026-05-05 14:21:05.201763+00
34,3,1066,2026-05-05 04:38:02.433609+00,2026-05-06 01:03:14.93099+00
